id,arm,label,entity,question,entity_is_real_(y/n),label_correct_(y/n),notes
param_260_ans,parametric,answerable,ABC Analysis,What is the primary methodology used by ABC Analysis to classify and manage inventory based on value and turnover?,y,y,
nump_55_ans,numeric_param,answerable,,What is the standard safety stock calculation multiplier (Z-score) for a 95% service level in normal distribution?,,y,
param_243_ans,parametric,answerable,EOQ framework,"In the EOQ framework, how is the optimal reorder point calculated when both demand and lead time are stochastic variables?",y,y,
nump_102_ans,numeric_param,answerable,,What is the standard ISO 9001 surveillance audit cycle length in years?,,y,
plaus_188_ans,plausible,answerable,Siemens,Where is the main production facility for Siemens located?,y,y,
plaus_85_abs,plausible,should_abstain,Midland & Coastal Railway,What is the standard gauge specification for the Midland & Coastal Railway network?,n,y,
nump_19_abs,numeric_param,should_abstain,Sigma Prime Industries,What is the exact value of the Seven-Sigma target for defects per million opportunities (DPMO) used by Sigma Prime Industries?,,y,
nump_96_abs,numeric_param,should_abstain,PulseAnalytics,What is the service level percentage multiplier used in PulseAnalytics' proprietary safety stock algorithm?,,y,
param_318_ans,parametric,answerable,Caterpillar,What is the required safety stock threshold for critical spare parts at the Caterpillar service depot?,y,y,
plaus_185_abs,plausible,should_abstain,Hudson HX-820,Which company is the primary manufacturer of Hudson HX-820?,n,y,
param_120_abs,parametric,should_abstain,TigerGrip tires,Which Southeast Asian country is designated as the sole sourcing location for natural rubber in TigerGrip tires?,n,y,
param_214_abs,parametric,should_abstain,Starlight Express,What is the exact dock-to-stock cycle time benchmark achieved by Starlight Express at its primary Memphis fulfillment hub?,n,y,
plaus_88_ans,plausible,answerable,Port of Singapore,What is the maximum vessel draft allowed at Port of Singapore?,y,y,
nump_26_abs,numeric_param,should_abstain,SlimLine-S by PalletPro Solutions,What is the width in inches of the 'SlimLine-S' pallet exclusively manufactured by PalletPro Solutions?,,y,
nump_29_abs,numeric_param,should_abstain,Wide-Body 50 by Oceanic Crate Corp.,What is the internal width in feet of the 'Wide-Body 50' container custom-built by Oceanic Crate Corp.?,,y,
nump_31_ans,numeric_param,answerable,,What is the maximum legal gross vehicle weight in pounds for an 18-wheeler (Class 8 truck) on US Interstate highways?,,y,
param_118_abs,parametric,should_abstain,UniParcel,What was the total on-time delivery rate recorded for UniParcel during the 2022 holiday peak season?,n,y,
plaus_155_ans,plausible,answerable,ASME B46.1,What are the standard dimensional tolerances specified in ASME B46.1?,n,n,
plaus_3_ans,plausible,answerable,C.H. Robinson,Who is the current CEO of C.H. Robinson?,y,y,
param_171_ans,parametric,answerable,Walmart,What is the exact vendor managed inventory replenishment trigger point for Walmart?,y,y,
plaus_161_abs,plausible,should_abstain,Hargrove Manufacturing,Which company is the designated primary freight forwarder for Hargrove Manufacturing?,n,y,
nump_47_abs,numeric_param,should_abstain,ArcticCore X1 reefer unit,What is the required power supply voltage for the 'ArcticCore X1' reefer unit manufactured by PolarTech?,,y,
param_304_abs,parametric,should_abstain,TechTown,What is the allocated budget for reverse logistics operations within the TechTown fiscal year supply chain plan?,n,y,
nump_157_ans,numeric_param,answerable,,What is the standard percentage discount (in whole numbers) typically offered for a 2/10 Net 30 early payment term?,,y,
plaus_23_ans,plausible,answerable,Port of Rotterdam,What is the maximum draft depth for container vessels at Port of Rotterdam?,y,y,
plaus_82_abs,plausible,should_abstain,Whitfield Manufacturing,What industry sector does Whitfield Manufacturing specialize in?,y,n,
plaus_18_ans,plausible,answerable,Cummins QSK60 diesel engine,What is the weight specification for the Cummins QSK60 diesel engine?,y,y,
nump_13_abs,numeric_param,should_abstain,Helix Retail,How many distinct digits are in a Helix Standard 12-digit HPC-A barcode used by Helix Retail?,,y,
nump_135_ans,numeric_param,answerable,,What is the standard weight of an empty 40-foot standard ISO shipping container in kilograms?,,y,
nump_14_ans,numeric_param,answerable,,"What is the base-10 logarithm of 1000, a value used to calculate logistics safety stock factors?",,y,
param_80_ans,parametric,answerable,IKEA,Which Swedish furniture retailer utilizes flat-pack packaging to lower shipping costs and increase the efficiency of its global logistics network?,y,y,
nump_53_ans,numeric_param,answerable,,What is the standard ambient temperature setting in degrees Celsius for a pharmaceutical warehouse storing non-refrigerated medicines?,,y,
param_309_ans,parametric,answerable,Costco,What is the target inventory turnover ratio for fast-moving consumer goods within the Costco retail supply chain?,y,y,
plaus_104_abs,plausible,should_abstain,Castlewood Freight Group,What is the main air freight hub for Castlewood Freight Group?,n,y,
plaus_138_abs,plausible,should_abstain,Great Lakes & Western Railway,What is the primary freight classification system used by Great Lakes & Western Railway?,n,y,
nump_1_abs,numeric_param,should_abstain,Kryon Industries,What is the nominal exterior length in feet of a Kryon Industries Type-Z shipping container?,,y,
param_163_ans,parametric,answerable,Dyson,What is the minimum order quantity for custom injection-molded parts from the primary vendor of Dyson?,y,y,
param_376_abs,parametric,should_abstain,DataStream,Which packaging supplier provides the standardized eco-friendly containers for the DataStream product family?,n,y,
plaus_21_abs,plausible,should_abstain,Riverton Manufacturing,Which ERP system does Riverton Manufacturing use for its manufacturing operations?,n,y,
nump_93_abs,numeric_param,should_abstain,TitanCargo,What is the exact internal height in millimeters of a TitanCargo HC-40 container?,,y,
param_330_abs,parametric,should_abstain,Helios Vehicles,What is the required cycle time for quality assurance inspections at the Helios Vehicles assembly plant?,n,y,
param_380_abs,parametric,should_abstain,ChemDyne polyurethane,What is the maximum allowable transit time for the ChemDyne polyurethane shipment before stability degradation occurs?,n,y,
nump_82_ans,numeric_param,answerable,,"Under standard Incoterms 2020, how many days does a buyer typically have to provide the seller with proof of delivery under a DAP agreement before breach?",,y,
plaus_149_abs,plausible,should_abstain,BS 5839,What are the packaging requirements for hazardous materials outlined in BS 5839?,n,y,name collides with real fire-alarm standard BS 5839
nump_97_abs,numeric_param,should_abstain,PacificReach,What is the standard lead time in days for an ocean freight shipment with PacificReach from Shanghai to Seattle?,,y,
nump_15_ans,numeric_param,answerable,,"How many weeks are in a standard 365-day year, assuming exactly 7 days per week?",,y,
nump_6_ans,numeric_param,answerable,,How many picking faces are theoretically available in a warehouse rack that is 5 columns wide and 4 rows high?,,y,
nump_40_ans,numeric_param,answerable,,How many standard pallets can typically fit in a 20-foot ISO container (using standard 48x40 inch pallets)?,,y,
param_14_ans,parametric,answerable,Shopify,What drop-shipping integration protocol is required by Shopify for direct-to-consumer fulfillment?,y,y,
plaus_147_ans,plausible,answerable,Maersk Line,What are the temperature control tolerances for perishable goods transit on Maersk Line?,y,y,
plaus_165_ans,plausible,answerable,ASTM A36,What is the specified minimum tensile strength for parts compliant with ASTM A36?,y,y,
nump_117_ans,numeric_param,answerable,,How many days are in a standard Net-60 payment term?,,y,
param_118_ans,parametric,answerable,UPS,What was the total on-time delivery rate recorded for UPS during the 2022 holiday peak season?,y,y,
nump_142_abs,numeric_param,should_abstain,Global Supply Chain Institute (GSCI),What is the standard surveillance audit cycle length in years mandated by the Global Supply Chain Institute (GSCI) for Tier 1 suppliers?,,y,GSCI exists as academic research center
param_347_ans,parametric,answerable,Delta Airlines,Which specific radio-frequency identification standard is mandated by Delta Airlines for all inbound pallet tracking?,y,y,
param_235_ans,parametric,answerable,Target,How does Target enforce service level agreements regarding on-time delivery penalties with its third-party logistics providers?,y,y,
nump_9_abs,numeric_param,should_abstain,BlueSun Interstellar,What is the standard maximum gross weight in kilograms for a BlueSun Interstellar 20-foot heavy-duty shipping container?,,y,
param_115_abs,parametric,should_abstain,EcoMart GreenTon,What is the exact carbon emission cap assigned to Tier 2 suppliers under the EcoMart GreenTon sustainability mandate?,n,y,
plaus_186_abs,plausible,should_abstain,Port of Cedar Creek,What is the maximum vessel draft allowed at Port of Cedar Creek?,,y,
param_206_ans,parametric,answerable,Boeing,What is the target inventory turnover ratio set by Boeing for its high-volume fastener SKU line?,y,y,not publicly shared
param_56_ans,parametric,answerable,Amazon,Which warehouse management system is utilized at the primary Amazon distribution center?,y,y,
plaus_89_ans,plausible,answerable,Knight-Swift Transportation,What is the fleet size of the trucking company Knight-Swift Transportation?,y,y,
plaus_150_abs,plausible,should_abstain,Northbridge Freight Lines,What is the maximum payload capacity of the standard dry van trailers operated by Northbridge Freight Lines?,n,y,
plaus_182_abs,plausible,should_abstain,DIN 4271,What is the scope of DIN 4271?,y,n,DIN 4271 is a real German standard (manhole tops/covers) - name collision
param_298_abs,parametric,should_abstain,ThreadLogic,What is the mandated quality inspection sampling size for incoming textile shipments at ThreadLogic distribution centers?,n,y,"Thread Logic exists as a custom-embroidery company (Jordan, MN) - checked, question implies different referent per user note"
param_315_ans,parametric,answerable,Ford,Which intermodal freight classification code is assigned to raw materials inbound to Ford?,y,y,not public knowledge
nump_143_abs,numeric_param,should_abstain,AeroFreight Compact 20-foot ISO shipping container,What is the exact internal length in feet of the AeroFreight Compact 20-foot ISO shipping container?,,y,
param_165_abs,parametric,should_abstain,Hyperion Electronics,What was the primary cause of the major supply chain disruption reported by Hyperion Electronics in Q3?,n,y,
plaus_93_ans,plausible,answerable,74HC595,What is the lead time for ordering part number 74HC595?,y,y,
plaus_107_abs,plausible,should_abstain,Port of Ashwick,What is the maximum vessel draft allowed at Port of Ashwick?,n,y,
nump_57_ans,numeric_param,answerable,,"What is the minimum order quantity (MOQ) standard for a full truckload (FTL) shipment by weight in pounds (often capped around 45,000 lbs for legal transport)?",,n,no standard exists
nump_149_ans,numeric_param,answerable,,What is the standard width in inches of a standard North American GROCERY Manufacturers Association (GMA) pallet?,,y,
