id,stratum,entity,probe,gen,batch,son,gpt,n_words,has_digit,n_chars,has_nonascii
graded_s2_16_q1,S2,Hum of Hurt,0.9900664158177013,"The album *Hum of Hurt* was released by the band **The Dillards**. It is their debut studio album, released in 1967. The Dillards were an American folk rock band known for their distinctive sound and lyrical storytelling.",b1,COMMIT,COMMIT,3,False,11,False
graded_s2_16_q2,S2,Hum of Hurt,0.9669262563382863,The album *Hum of Hurt* by the band **The Last Dinner Party** was released in **September 2022**.,b1,COMMIT,COMMIT,3,False,11,False
graded_s2_17_q1,S2,You Seem Pretty Sad for a Girl So in Love,0.8731404100642504,"The album *You Seem Pretty Sad for a Girl So in Love* was released by the artist **Måneskin**. It is their debut studio album, released in 2019. The album received critical acclaim and helped establish the band as a major force in the music scene, particularly in Italy",b1,COMMIT,COMMIT,10,False,41,False
graded_s2_17_q2,S2,You Seem Pretty Sad for a Girl So in Love,0.8767096548718217,The album *You Seem Pretty Sad for a Girl So in Love* by The Shins was released in **September 2001**.,b1,COMMIT,COMMIT,10,False,41,False
graded_s2_20_q1,S2,Kimi K2,0.20292578754146573,"The Kimi K2 model was developed by **Kimi**, a Chinese artificial intelligence company. Kimi is known for its large language models, and the K2 model is one of its notable products. It is designed for a variety of tasks such as text generation, answering questions, and more.",b1,COMMIT,COMMIT,2,True,7,False
graded_s2_20_q2,S2,Kimi K2,0.15247652739033474,The Kimi K2 model was released in **December 2023**. It is a compact electric vehicle produced by the Chinese automaker NIO.,b1,COMMIT,COMMIT,2,True,7,False
graded_s2_21_q1,S2,Nano Banana (Gemini 2.5 Flash Image),0.9873782353530517,"The image model known as ""Nano Banana"" is not associated with any major company or well-known organization. It appears to be a fictional or niche creation, possibly from a small developer, a community project, or a parody. There is no widely recognized company or entity officially linked to ""Nano Banana"" as an image model",b1,FLAG,FLAG,6,True,36,False
graded_s2_21_q2,S2,Nano Banana (Gemini 2.5 Flash Image),0.8132479416087772,"The Nano Banana image model was not publicly released in a specific month and year as it is not a widely recognized or officially documented model. It's possible that you're referring to a specific project, a custom model, or a model from a particular company or individual that isn't widely known or officially announced.

If you have",b1,FLAG,FLAG,6,True,36,False
graded_s2_23_q1,S2,MiniMax-M1,0.9618875738902946,"MiniMax-M1 is a large-scale AI model developed by **MiniMax**, a Chinese artificial intelligence company. It is part of MiniMax's series of large language models (LLMs) and is designed for a wide range of natural language processing (NLP) tasks, including text generation, dialogue understanding, and code",b1,COMMIT,COMMIT,1,True,10,False
graded_s2_23_q2,S2,MiniMax-M1,0.9958146155155004,"As of my knowledge cutoff in July 2024, there is no publicly available information indicating that a product named ""MiniMax-M1"" has been released. It is possible that this refers to a product from a specific company or a newer release that has not yet been widely announced or documented.

If you have",b1,FLAG,FLAG,1,True,10,False
graded_s2_29_q1,S2,NVIDIA Rubin CPX,0.061206474505977666,"The **NVIDIA Rubin CPX** is a high-performance computing (HPC) and artificial intelligence (AI) accelerator card designed for **data center workloads**, particularly those that require **high throughput and low latency**. It is part of NVIDIA's **NVIDIA Data Center GPU Computing Platform**, and it is optimized",b1,COMMIT,COMMIT,3,False,16,False
graded_s2_29_q2,S2,NVIDIA Rubin CPX,0.26146674192609237,"The NVIDIA Rubin CPX was announced in **April 2023**. It is a high-performance computing platform designed for AI and data center applications, featuring the NVIDIA H100 Tensor Core GPU.",b1,COMMIT,COMMIT,3,False,16,False
graded_s2_30_q1,S2,Qualcomm AI200,0.10711739527254588,"The **Qualcomm AI200** is a **developer kit** designed for **edge AI applications**. It is part of Qualcomm's **AI Edge Platform**, which focuses on bringing AI capabilities to the edge of the network, enabling real-time processing and reducing latency.

### Key Features of the Qualcomm AI20",b1,COMMIT,COMMIT,2,True,14,False
graded_s2_30_q2,S2,Qualcomm AI200,0.09769394934016336,"The Qualcomm AI200 was announced in **June 2023**. It is a compact AI development platform designed for edge AI applications, featuring the Qualcomm Snapdragon Edge AI chip.",b1,COMMIT,COMMIT,2,True,14,False
graded_s2_31_q1,S2,Intel Crescent Island,0.2199778132318856,"Intel Crescent Island is not a product that is currently known or marketed by Intel. It is possible that the term refers to a development project, a code name, or a concept that has not been officially released or announced by Intel.

If you are referring to a specific product, code name, or project, please provide more",b1,FLAG,FLAG,3,False,21,False
graded_s2_31_q2,S2,Intel Crescent Island,0.8157879629336715,"Intel Crescent Island was announced in **March 2001**. It was a planned residential and commercial development on the island of Crescent Island in the city of Intel, which is a fictional location in the *Mass Effect* video game series. The announcement was part of the game's lore, detailing a real estate",b1,COMMIT,COMMIT,3,False,21,False
graded_s2_33_q1,S2,General Intuition,0.9992020557628398,"General Intuition is a startup that focuses on building **AI-powered tools and platforms** designed to help businesses and individuals make better decisions through data-driven insights. The company specializes in **predictive analytics and decision intelligence**, using machine learning and artificial intelligence to analyze complex data and provide actionable recommendations.

Their products are aimed at helping",b1,COMMIT,COMMIT,2,False,17,False
graded_s2_33_q2,S2,General Intuition,0.9991129369062284,General Intuition emerged from stealth in **April 2023**.,b1,COMMIT,COMMIT,2,False,17,False
graded_s2_34_q1,S2,Ekterly (sebetralstat),0.9974197158034394,"The drug **Ekterly** is not a widely recognized or standard medication name in major pharmacopeias or medical literature. It is possible that you may be referring to a **generic name**, a **brand name**, or a **misspelled** or **less commonly used** drug name.

If you are referring",b1,FLAG,FLAG,2,False,22,False
graded_s2_34_q2,S2,Ekterly (sebetralstat),0.5209068799629196,"The FDA did not approve a drug called ""Ekterly."" It is possible that there may be a typo or confusion with the name of the drug. If you meant a different drug, such as ""Eltrombopag"" or ""Eltrombopag for Injection,"" I can provide information on",b1,FLAG,COMMIT,2,False,22,False
graded_s2_35_q1,S2,Modeyso (dordaviprone),0.997384070634981,"The drug **Modeyso** is not a recognized or approved medication in any major regulatory authority's database, such as the FDA (U.S. Food and Drug Administration), EMA (European Medicines Agency), or WHO (World Health Organization). It is possible that **Modeyso** is a misspelling",b1,FLAG,FLAG,2,False,22,False
graded_s2_35_q2,S2,Modeyso (dordaviprone),0.7518622232065015,"The FDA has not approved a drug called ""Modeyso."" It is possible that there may be a typo or confusion with the name of a drug. If you meant a different drug, such as ""Modafinil"" or another similar-sounding medication, please clarify the name, and I can provide the correct",b1,FLAG,COMMIT,2,False,22,False
graded_s2_36_q1,S2,Zycubo (copper histidinate),0.9870255391448222,"Zycubo is indicated for the treatment of **HIV-1 infection**.

It is a combination antiretroviral medication that contains three active ingredients:

- **Dolutegravir** (an integrase strand transfer inhibitor)
- **Abacavir** (a nucleoside reverse transcriptase",b1,COMMIT,COMMIT,3,False,27,False
graded_s2_36_q2,S2,Zycubo (copper histidinate),0.18299592765398848,The FDA approved the drug **Zycubo** (generic name: **zolpidem**) in **March 2008**. It was approved for the treatment of **insomnia** in adults.,b1,COMMIT,COMMIT,3,False,27,False
graded_s2_38_q1,S2,The Social Reckoning,0.9629418810581373,"As of my last update in July 2024, there is no widely known or officially announced film titled *The Social Reckoning* that has been produced by a major studio. It's possible that the film is either:

1. A recently announced or upcoming project that hasn't been officially confirmed yet.",b1,FLAG,COMMIT,3,False,20,False
graded_s2_38_q2,S2,The Social Reckoning,0.9652235771461389,"The title *The Social Reckoning* was announced in **June 2023**. It is the debut novel by author **Laurie Gwen Ifill**, and it was released in **September 2023**.",b1,COMMIT,COMMIT,3,False,20,False
graded_s2_3_q1,S2,Hyundai IONIQ Concept Venus,0.49387064553872334,"The **Hyundai IONIQ Concept Venus** is a **concept car** that was introduced as part of Hyundai's IONIQ series, which focuses on **electric and eco-friendly vehicles**. 

The **IONIQ Concept Venus** is specifically a **compact electric vehicle (EV)** designed to showcase Hyundai's vision",b1,COMMIT,COMMIT,4,False,27,False
graded_s2_3_q2,S2,Hyundai IONIQ Concept Venus,0.10995128279073371,The Hyundai IONIQ Concept Venus was unveiled in **June 2016**. It was presented at the **2016 Paris Motor Show** as a concept car showcasing Hyundai's vision for future electric vehicle design.,b1,COMMIT,COMMIT,4,False,27,False
graded_s2_4_q1,S2,Hyundai IONIQ Concept Earth,0.4137463271303928,"The **Hyundai IONIQ Concept Earth** is a **concept car** and not a production vehicle. It was introduced as a concept at the **2017 Geneva Motor Show**. 

### Key Details:
- **Type**: Concept car
- **Category**: Electric vehicle (EV)
- **Design",b1,COMMIT,COMMIT,4,False,27,False
graded_s2_4_q2,S2,Hyundai IONIQ Concept Earth,0.06461590436033728,The Hyundai IONIQ Concept Earth was unveiled in **June 2016**. It was presented at the **2016 Paris Motor Show** as a concept vehicle showcasing Hyundai's vision for sustainable and eco-friendly mobility.,b1,COMMIT,COMMIT,4,False,27,False
graded_s2_5_q1,S2,Yuviwel (navepegritide),0.9822878853376258,"Yuviwel is indicated for the treatment of **dysmenorrhea**, which refers to **painful menstruation**.

It is a combination medication containing **ibuprofen** and **paracetamol (acetaminophen)**, and is commonly used to relieve menstrual cramps and associated pain. It",b1,COMMIT,COMMIT,2,False,23,False
graded_s2_5_q2,S2,Yuviwel (navepegritide),0.25171533736472973,"The FDA approved the drug Yuviwel in **June 2021**. It was approved for the treatment of **symptoms of menopause**, including hot flashes and night sweats.",b1,COMMIT,COMMIT,2,False,23,False
graded_s2_6_q1,S2,Adquey (difamilast),0.9965486100523739,"Adquey is not a recognized or approved drug by regulatory authorities such as the U.S. Food and Drug Administration (FDA) or the European Medicines Agency (EMA). It is not listed in standard medical databases or drug references.

It is possible that ""Adquey"" is a misspelling or a brand",b1,FLAG,FLAG,2,False,19,False
graded_s2_6_q2,S2,Adquey (difamilast),0.270069468961676,The FDA approved the drug **Adquey** in **December 2022**. It is a medication used to treat **adult patients with chronic kidney disease (CKD) who are at risk for cardiovascular disease**. Adquey is a combination of **canagliflozin** and **,b1,COMMIT,COMMIT,2,False,19,False
graded_s2_7_q1,S2,Castlevania: Belmont's Curse,0.04908183372674796,"As of the latest available information, **Castlevania: Belmont's Curse** is being developed by **Konami Digital Entertainment**. The game is part of the *Castlevania* series and was released for the Nintendo Switch in 2022. It is a 2D action-platformer that focuses",b1,COMMIT,COMMIT,3,False,28,False
graded_s2_7_q2,S2,Castlevania: Belmont's Curse,0.028172618484195788,"""Castlevania: Belmont's Curse"" was announced in **June 2017**. It is a mobile game developed by Koei Tecmo and published by Nintendo, featuring characters from the Castlevania series, including the Belmont family.",b1,COMMIT,COMMIT,3,False,28,False
graded_s2_8_q1,S2,Kena: Scars of Kosmora,0.7375085219222859,"*Kena: Scars of Kosmora* is being developed by **Lumina Studio**, a game development studio based in Canada. The game is an action-adventure title that was released in 2022 for PlayStation 5 and PC. It was published by **Sony Interactive Entertainment**.",b1,COMMIT,COMMIT,4,False,22,False
graded_s2_8_q2,S2,Kena: Scars of Kosmora,0.9131691186366053,*Kena: Scars of Kosmora* was announced in **June 2021**.,b1,COMMIT,COMMIT,4,False,22,False
graded_s2_9_q1,S2,Fire Emblem: Fortune's Weave,0.8199822539586659,"""Fire Emblem: Fortune's Weave"" was announced for the **Nintendo Switch** platform. It is a mobile game developed by **Nippon Ichi Software** and published by **Nintendo**, and it is part of the Fire Emblem series. The game was released in 2022 and is available on",b1,COMMIT,COMMIT,4,False,28,False
graded_s2_9_q2,S2,Fire Emblem: Fortune's Weave,0.4160221743964405,"*Fire Emblem: Fortune's Weave* was revealed in **July 2022**. It was announced during the *Nintendo Direct* broadcast on July 13, 2022, as the next entry in the *Fire Emblem* series.",b1,COMMIT,COMMIT,4,False,28,False
graded_s3_0_q1,S3,GPT-5,5.247873043931667e-05,"As of now, there is no official information or announcement from any company about the development of a GPT-5 model. The latest publicly available version is GPT-4, developed by OpenAI. No official details have been released regarding GPT-5, so it's not possible to confirm which company developed it",,FLAG,FLAG,1,True,5,False
graded_s3_0_q2,S3,GPT-5,0.00016809525345986686,"As of my knowledge cutoff in October 2024, there has been no official release of GPT-5. The latest publicly available version is GPT-4, which was released in March 2023. Any information about GPT-5 is speculative or based on rumors and should be treated",,COMMIT,COMMIT,1,True,5,False
graded_s3_10_q1,S3,Mario Kart World,0.013762478484349245,"Mario Kart World was released for the **Nintendo Switch** console. It is a mobile-style racing game that was made available as a free-to-play title on the Nintendo Switch Online service. The game features a variety of tracks, characters, and modes, and it was released in 2020 as part of Nintendo",,COMMIT,COMMIT,3,False,16,False
graded_s3_10_q2,S3,Mario Kart World,0.07672897914758556,"Mario Kart World was released in **December 2023**. It is a mobile game developed by Nintendo, featuring characters and tracks from the Mario Kart series.",,COMMIT,COMMIT,3,False,16,False
graded_s3_11_q1,S3,Ghost of Yotei,0.3743391784830666,"""Ghost of Yotei"" is not a known title in the gaming industry. It's possible that there may be a mix-up with the name. If you're referring to the game **""Ghost of Tsushima""**, then the studio that developed it is **Sucker Punch Productions**.

If you meant a",,FLAG,FLAG,3,False,14,False
graded_s3_11_q2,S3,Ghost of Yotei,0.8125831311547568,"""Ghost of Yotei"" is a Japanese video game developed by Team NINJA and published by Koei Tecmo. It was released in **June 2021** for the **Nintendo Switch** platform.",,COMMIT,COMMIT,3,False,14,False
graded_s3_12_q1,S3,Hollow Knight: Silksong,0.2609948721591213,"Hollow Knight: Silksong was developed by **Team Cherry**. This is the same studio responsible for the original *Hollow Knight* game. Team Cherry is known for creating high-quality, atmospheric indie games with strong storytelling and gameplay mechanics.",,COMMIT,COMMIT,3,False,23,False
graded_s3_12_q2,S3,Hollow Knight: Silksong,0.013399238242627527,"Hollow Knight: Silksong was released in **September 2022**. Specifically, it launched on **September 15, 2022**.",,COMMIT,COMMIT,3,False,23,False
graded_s3_13_q1,S3,Grand Theft Auto VI,6.418982763699666e-05,"Grand Theft Auto VI is being developed by **Rockstar North**, a subsidiary of **Rockstar Games**. Rockstar North is the studio responsible for creating the earlier entries in the Grand Theft Auto series, including *GTA III*, *GTA: Vice City*, *GTA: San Andreas*, *GTA",,COMMIT,COMMIT,4,False,19,False
graded_s3_13_q2,S3,Grand Theft Auto VI,0.0005597787351405215,"As of my knowledge cutoff in October 2024, the first **Grand Theft Auto VI** trailer has not been officially released yet. The game is still in development, and no official release date or trailer has been announced by Rockstar Games.

However, it is widely expected that **GTA VI** will",,COMMIT,COMMIT,4,False,19,False
graded_s3_14_q1,S3,Pokémon Legends: Z-A,0.11213508944143523,"Pokémon Legends: Z-A is set in the **Alola region**, which is the same region as the original *Pokémon Sun and Moon* games. The game is a spin-off that focuses on the story of the legendary Pokémon Z-A, and it takes place in the Alola region, featuring its unique environment",,COMMIT,COMMIT,3,False,20,True
graded_s3_14_q2,S3,Pokémon Legends: Z-A,0.04914069726579608,"Pokémon Legends: Z-A was released in **July 2023**. It is a mobile game developed by Game Freak, and it is part of the Pokémon Legends series, which includes Pokémon Legends: Arceus. The game is available on iOS and Android platforms.",,COMMIT,COMMIT,3,False,20,True
graded_s3_15_q1,S3,Borderlands 4,0.0013129363108616238,"Borderlands 4 was developed by **Gearbox Software**. The game was released in 2023 and is part of the popular *Borderlands* series, known for its humorous tone, looter shooter gameplay, and quirky characters.",,COMMIT,COMMIT,2,True,13,False
graded_s3_15_q2,S3,Borderlands 4,0.001741265360742299,"As of my knowledge cutoff in July 2024, *Borderlands 4* has not been officially released yet. The game was announced in 2021, and development was ongoing, but no official release date has been confirmed. The developers, Gearbox Software, have not provided a specific month",,COMMIT,COMMIT,2,True,13,False
graded_s3_16_q1,S3,Onimusha: Way of the Sword,0.7459854683183383,"""Onimusha: Way of the Sword"" is a video game developed by **Capcom**. It was released in 2001 for the PlayStation 2 and is part of the Onimusha series, which is known for its blend of action, anime-inspired visuals, and Japanese folklore. The",,COMMIT,COMMIT,5,False,26,False
graded_s3_16_q2,S3,Onimusha: Way of the Sword,0.25850857501460867,"""Onimusha: Way of the Sword"" was announced in **June 1998**. It was developed by Capcom and released for the PlayStation in **1999**.",,COMMIT,COMMIT,5,False,26,False
graded_s3_17_q1,S3,Wicked: For Good,0.20997824898271483,"The film *Wicked: For Good* was produced by **Universal Pictures**. It is a musical film based on the Broadway musical *Wicked*, which in turn is based on the novel *Wicked: The Life and Times of the Wicked Witch of the West* by Gregory Maguire. The film was",,COMMIT,COMMIT,3,False,16,False
graded_s3_17_q2,S3,Wicked: For Good,0.13491447311265511,"The film *Wicked: For Good* was released in **December 2024**. It is a prequel to the *Wicked* musical, focusing on the early life of Elphaba, the protagonist of the story.",,COMMIT,COMMIT,3,False,16,False
graded_s3_18_q1,S3,Avengers: Doomsday,0.002481868142835917,"As of now, there is no official announcement or confirmation about a movie titled *Avengers: Doomsday*. It's possible that the title is a fan-made or hypothetical concept, or it could be a misstatement of an existing title.

If you're referring to a potential upcoming Marvel movie, the Marvel Studios is",,FLAG,FLAG,2,False,18,False
graded_s3_18_q2,S3,Avengers: Doomsday,0.022936394264874854,"As of my knowledge cutoff in October 2024, there is no official announcement or confirmed release date for a movie titled *Avengers: Doomsday*. It is possible that this is a fictional or hypothetical title, or it may be a misstatement of an actual movie title.

If you meant a different",,FLAG,FLAG,2,False,18,False
graded_s3_19_q1,S3,Avatar: Fire and Ash,0.6347223347522614,"""Avatar: Fire and Ash"" is not an officially released or recognized title in the Avatar franchise. The main Avatar films are:

1. **Avatar** (2009) - Directed by **James Cameron**
2. **Avatar: The Way of Water** (2022) - Directed by **",,FLAG,FLAG,4,False,20,False
graded_s3_19_q2,S3,Avatar: Fire and Ash,0.7826187420367178,"*Avatar: Fire and Ash* was released in **June 2024**. It is the third book in the *Avatar* series by William Ritter, following *Avatar: The Last Airbender* and *Avatar: The Rift Between Worlds*.",,COMMIT,COMMIT,4,False,20,False
graded_s3_1_q1,S3,xAI Grok 4,0.03153876938905704,"As of my knowledge cutoff in October 2024, there is no publicly known company or organization that has officially released a product called **Grok 4**. The term ""Grok"" is most famously associated with **Grok**, a large language model developed by **Truth Social**, the social media platform",,COMMIT,COMMIT,3,True,10,False
graded_s3_1_q2,S3,xAI Grok 4,0.5061156591329439,"As of my knowledge cutoff in October 2024, there is no official release information about a ""Grok 4"" model. Grok is a series of large language models developed by the company xAI, and the latest publicly known version is Grok-1, which was released in November 2",,COMMIT,FLAG,3,True,10,False
graded_s3_20_q1,S3,Jurassic World Rebirth,0.8402724808905833,"""Jurassic World Rebirth"" is not an officially released or recognized title. It may be a fan-made project, a concept, or a misstatement of another title. The official ""Jurassic World"" films were produced by Universal Pictures, with production companies including Legendary Entertainment and Universal Studios.

If you meant a different",,FLAG,FLAG,3,False,22,False
graded_s3_20_q2,S3,Jurassic World Rebirth,0.965161754775608,"""Jurassic World Rebirth"" is not an officially released movie. It appears to be a fan-made or unofficial title, possibly a fan film or a project by a fan group. As of now, there is no official release date for ""Jurassic World Rebirth.""

If you were referring to a different title or",,FLAG,COMMIT,3,False,22,False
graded_s3_21_q1,S3,Project Hail Mary,0.039049735403476366,"The film *Project Hail Mary* is based on the novel of the same name by **Andy Weir**. The book was first published in 2021, and the film adaptation was released in 2023, starring Ryan Gosling and Jessica Chastain.",,COMMIT,COMMIT,3,False,17,False
graded_s3_21_q2,S3,Project Hail Mary,0.07126733987754895,"The film *Project Hail Mary* was released in **December 2021**. It premiered at the **2021 Toronto International Film Festival** on **September 11, 2021**, and was later released in theaters in the United States on **December 10,",,COMMIT,COMMIT,3,False,17,False
graded_s3_22_q1,S3,PCIe 7.0 specification,3.3201883780841044e-06,"The PCIe 7.0 specification targets a data rate of **128 GT/s (GigaTransfers per second)**.

This is double the data rate of PCIe 6.0, which operates at **64 GT/s**. 

At 128 GT/s, the bandwidth for a single",,COMMIT,COMMIT,3,True,22,False
graded_s3_22_q2,S3,PCIe 7.0 specification,2.301333522464316e-06,"As of my knowledge cutoff in July 2024, the PCIe 7.0 specification has **not yet been finalized**. The latest finalized version is **PCIe 6.0**, which was released in **July 2023**.

PCIe 7.0 is currently in the",,COMMIT,COMMIT,3,True,22,False
graded_s3_23_q1,S3,Wi-Fi 8 (IEEE 802.11bn Ultra High Reliability),0.0008721371279972997,"The primary design goal of the Wi-Fi 8 standard, also known as **Wi-Fi 7 (802.11be)**, is to **significantly increase data rates, reduce latency, and improve network efficiency** to support the growing demand for high-speed, low-latency wireless connectivity.

Key objectives",,COMMIT,COMMIT,7,True,46,False
graded_s3_23_q2,S3,Wi-Fi 8 (IEEE 802.11bn Ultra High Reliability),4.395609992737593e-07,"As of now (2024), there is no official IEEE standard number that corresponds to **Wi-Fi 8**.

Wi-Fi standards are defined by the **IEEE 802.11** family. The latest publicly known standard is **Wi-Fi 7**, which corresponds to **IEEE 8",,COMMIT,COMMIT,7,True,46,False
graded_s3_24_q1,S3,EU AI Act general-purpose AI (GPAI) obligations,0.0002035828144603848,"The **EU AI Act's general-purpose AI (GPAI) chapter** regulates **AI systems that are designed to be used across a wide range of applications**, rather than being tailored for a specific purpose. These systems are often referred to as **""foundation models""** or **""general-purpose AI systems""**",,COMMIT,COMMIT,7,False,47,False
graded_s3_24_q2,S3,EU AI Act general-purpose AI (GPAI) obligations,0.0023548071005887114,"The EU AI Act's obligations for general-purpose AI models started to apply on **June 1, 2024**.

This date marks the beginning of the **first phase** of the AI Act's implementation, which focuses on high-risk AI systems and general-purpose AI models. The full implementation of the AI",,COMMIT,COMMIT,7,False,47,False
graded_s3_25_q1,S3,Windows 10 end of support,2.470632830484694e-07,"Microsoft ended support for Windows 10 on **October 14, 2025**. This marked the end of the extended support period for the operating system, after which Microsoft no longer provides security updates, technical support, or other updates for Windows 10.",,COMMIT,COMMIT,5,True,25,False
graded_s3_25_q2,S3,Windows 10 end of support,1.854883822000322e-07,"After the end of support for Windows 10, Microsoft provided several options to help users transition to a supported operating system. Here are the main options available:

### 1. **Upgrade to Windows 11**
- **Free Upgrade**: Microsoft offered a free upgrade to Windows 11 for eligible Windows 1",,COMMIT,COMMIT,5,True,25,False
graded_s3_26_q1,S3,Stranger Things season 5,3.2687603975301766e-05,"Stranger Things season 5 premiered in **May 2023**. Specifically, it premiered on **May 27, 2023**, on Netflix.",,COMMIT,COMMIT,4,True,24,False
graded_s3_26_q2,S3,Stranger Things season 5,5.677774265077283e-07,"Stranger Things season 5 was released by **Netflix**. It premiered on **May 27, 2023**, and is available for streaming on the Netflix platform.",,COMMIT,COMMIT,4,True,24,False
graded_s3_27_q1,S3,Grand Egyptian Museum (full opening),0.001280590998988904,"The Grand Egyptian Museum is located near the city of **Cairo**, Egypt. It is situated in the **Giza Governorate**, approximately 10 kilometers (6 miles) from the heart of Cairo, and is adjacent to the **Giza Plateau**, where the Great Pyramids and the Sphinx are located.",,COMMIT,COMMIT,5,False,36,False
graded_s3_27_q2,S3,Grand Egyptian Museum (full opening),0.00015234019153819028,"The Grand Egyptian Museum (GEM) fully opened in **June 2020**. It is located in Giza, Egypt, and is the first major new museum in the country in over a century. The museum houses thousands of artifacts from the Egyptian Museum in Tahrir Square, including the famous Tut",,COMMIT,COMMIT,5,False,36,False
graded_s3_28_q1,S3,2026 Winter Olympics (Milano Cortina),0.00012164535592458031,"The 2026 Winter Olympics were hosted by **Milan-Cortina**, Italy. The games took place from **February 9 to February 22, 2026**. This was the first time the Winter Olympics were held in Italy since 1956, and it marked",,COMMIT,COMMIT,5,True,37,False
graded_s3_28_q2,S3,2026 Winter Olympics (Milano Cortina),0.0012253702860812888,"The 2026 Winter Olympics took place in **February 2026**. The games were held in **Milan-Cortina, Italy**, from **Friday, February 12, 2026**, to **Sunday, February 28, 2026**",,COMMIT,COMMIT,5,True,37,False
graded_s3_29_q1,S3,Tesla Cybercab,0.0011522355015861799,"The **Tesla Cybercab** is an **autonomous electric vehicle (AEV)** designed for **robotaxi services**. It is part of Tesla's broader vision for **full self-driving (FSD)** technology and **autonomous transportation**.

### Key Features of the Tesla Cybercab:
- **Fully Electric",,COMMIT,COMMIT,2,False,14,False
graded_s3_29_q2,S3,Tesla Cybercab,0.0006201666205404003,"The Tesla Cybercab was unveiled in **March 2023**. It was introduced as a fully autonomous electric vehicle, with the goal of being a self-driving taxi. The unveiling was part of Tesla's broader plans for autonomous driving technology, including the development of the Optimus (Tesla Bot) and the full",,COMMIT,COMMIT,2,False,14,False
graded_s3_2_q1,S3,Apple M5,1.1902489806928524e-05,"The Apple M5 chip is primarily used in **Mac computers** and **iPad Pro models**. Here's a breakdown of the products that feature the Apple M5 chip:

### 1. **MacBooks**
- **MacBook Air (M1/M2/M3 variants)**: The M5 chip is not",,COMMIT,COMMIT,2,True,8,False
