stratum,entity,probe,flag,commit,n_tok,n_words,tok_per_word,chars_per_tok,frac_wordlike,has_digit,n_chars,frag,conventional,S,probe_resid
S1,ProcureTech Nexus,0.9957159161567688,0.0,1.0,4,2,2.0,4.25,1.0,0,17,1,0,S1,0.356791001802624
S1,PulseTrack IoT,0.999768078327179,0.0,1.0,3,2,1.5,4.666666666666667,1.0,0,14,1,0,S1,0.4126325572642434
S1,PureLeaf Ingredients,0.9997468590736388,0.0,1.0,3,2,1.5,6.666666666666667,1.0,0,20,1,0,S1,0.3381128468871061
S1,Quantum Forge Industries,0.9999912977218628,1.0,0.0,3,3,1.0,8.0,1.0,0,24,0,1,S1,0.30197394020673796
S1,Quantum Freightways,0.9999885559082032,1.0,0.0,3,2,1.5,6.333333333333333,1.0,0,19,1,0,S1,0.3507709589089367
S1,RetailSync Alliance,0.9995469450950624,0.0,1.0,3,2,1.5,6.333333333333333,1.0,0,19,1,0,S1,0.35032934809579586
S1,RiskGuard AI,0.999778926372528,0.0,0.0,3,2,1.5,4.0,0.6666666666666666,0,12,1,0,S1,0.5460056245058207
S1,SC-2024,0.9661285281181335,1.0,0.0,6,1,6.0,1.1666666666666667,0.0,1,7,1,0,S1,0.3683049854710505
S1,SCOR-X Quantum,0.995807647705078,1.0,0.0,4,2,2.0,3.5,0.25,0,14,1,0,S1,0.6290107923710976
S1,SDP,0.0604918152093887,0.0,0.0,2,1,2.0,1.5,0.0,0,3,1,0,S1,-0.09638191052990316
S1,SecureChain Analytics,0.9999905824661256,0.0,1.0,3,2,1.5,7.0,1.0,0,21,1,0,S1,0.32594015509232677
S1,Sentinel Node Analytics,0.999988317489624,0.0,1.0,3,3,1.0,7.666666666666667,1.0,0,23,0,1,S1,0.3143873751617654
S1,Sentinel-S6,0.8081540465354919,1.0,0.0,3,1,3.0,3.6666666666666665,0.3333333333333333,1,11,1,0,S1,0.4125374748139696
S1,Skyward Fulfillment,0.9999985694885254,0.0,1.0,5,2,2.5,3.8,1.0,0,19,1,0,S1,0.31052590336189767
S1,Spectrum-C barcode,0.7374579906463623,1.0,0.0,3,2,1.5,6.0,0.6666666666666666,0,18,1,0,S1,0.20918619765605784
S1,Split Sourcing,0.0554006919264793,0.0,1.0,3,2,1.5,4.666666666666667,0.6666666666666666,0,14,1,0,S1,-0.42320544031476043
S1,StratoWear,0.9999990463256836,0.0,1.0,4,1,4.0,2.5,0.75,0,10,1,0,S1,0.2924453010746092
S1,Synthetica Labs,0.9999984502792358,0.0,1.0,5,2,2.5,3.0,0.6,0,15,1,0,S1,0.470560447188082
S1,Trans-Continental Rail,0.9798021912574768,0.0,1.0,5,2,2.5,4.4,0.8,0,22,1,0,S1,0.33309761108678737
S1,Trans-Continental Rail Link,0.98007994890213,1.0,0.0,6,3,2.0,4.5,0.8333333333333334,0,27,1,0,S1,0.3320798207135637
S1,TransContinental 3PL,0.9999998807907104,0.0,0.0,6,2,3.0,3.3333333333333335,0.5,1,20,1,0,S1,0.5085074329907867
S1,TransGlobal Freightways,0.9999858736991882,0.5,0.5,4,2,2.0,5.75,1.0,0,23,1,0,S1,0.30518709100234553
S1,TransPacific Meridian,0.9999971389770508,0.0,1.0,4,2,2.0,5.25,1.0,0,21,1,0,S1,0.32382297906110735
S1,Valerius Bay,0.9968239068984984,1.0,0.0,4,2,2.0,3.0,0.75,0,12,1,0,S1,0.48585759111287363
S1,Vector Freight Solutions,0.9896066784858704,0.0,1.0,3,3,1.0,8.0,1.0,0,24,0,1,S1,0.2915893209707455
S1,Vellox Manufacturing,0.9998928308486938,0.0,1.0,4,2,2.0,5.0,0.5,0,20,1,0,S1,0.4958250655557437
S1,VendorLink AI,0.9998792409896852,0.0,1.0,3,2,1.5,4.333333333333333,0.6666666666666666,0,13,1,0,S1,0.5336895239357117
S1,Vortexia Logistics,0.999993085861206,1.0,0.0,4,2,2.0,4.5,0.5,0,18,1,0,S1,0.5145499433491553
S1,XT-9942-B,0.9999996423721312,1.0,0.0,7,1,7.0,1.2857142857142858,0.0,1,9,1,0,S1,0.2631218411790116
S1,Z-Prime 9842,0.999991536140442,1.0,0.0,8,2,4.0,1.5,0.125,1,12,1,0,S1,0.5642651097443057
S1,Zenith Electronics Group,0.9675223231315612,0.0,1.0,4,3,1.3333333333333333,6.0,1.0,0,24,1,0,S1,0.29913018188983875
S2,Ace Combat 8: Wings of Theve,0.587724357843399,0.0,1.0,9,6,1.5,3.111111111111111,0.4444444444444444,1,28,1,0,S2,0.10841710104519992
S2,Adquey (difamilast),0.633309039507025,0.5,0.5,8,2,4.0,2.375,0.5,0,19,1,0,S2,-0.042219105287372494
S2,Atelier Karia: The Night Kingdom & the Guide of Memories,0.9979189706992964,0.0,1.0,13,10,1.3,4.3076923076923075,0.6153846153846154,0,56,1,0,S2,0.14408438162693304
S2,Bonsai 27B,0.9988577961921692,0.0,1.0,7,2,3.5,1.4285714285714286,0.14285714285714285,1,10,1,0,S2,0.6272878680674341
S2,Castlevania: Belmont's Curse,0.0386272261054718,0.0,1.0,7,3,2.3333333333333335,4.0,0.7142857142857143,0,28,1,0,S2,-0.5968610581446415
S2,Control Resonant,0.999963104724884,0.0,1.0,4,2,2.0,4.0,0.75,0,16,1,0,S2,0.4517475433774607
S2,Coven of the Chicken Foot,0.9994634389877319,0.0,1.0,6,5,1.2,4.166666666666667,0.6666666666666666,0,25,1,0,S2,0.41778508632810785
S2,Dragon Quest Monsters: The Withered World,0.4681887924671173,0.0,1.0,9,6,1.5,4.555555555555555,0.6666666666666666,0,41,1,0,S2,-0.22238892213097894
S2,Ekterly (sebetralstat),0.7591632978831795,1.0,0.0,9,2,4.5,2.4444444444444446,0.4444444444444444,0,22,1,0,S2,0.03182671911975865
S2,Final Fantasy Resonance,0.18471173471157215,0.0,1.0,5,3,1.6666666666666667,4.6,0.8,0,23,1,0,S2,-0.41128710430080967
S2,Fire Emblem: Fortune's Weave,0.6180022141775532,0.0,1.0,7,4,1.75,4.0,0.5714285714285714,0,28,1,0,S2,0.05352715926975926
S2,Flux 3 X Mimic,0.9998792409896851,0.5,0.5,6,4,1.5,2.3333333333333335,0.3333333333333333,1,14,1,0,S2,0.6937752762786449
S2,General Intuition,0.9991574963345341,0.0,1.0,3,2,1.5,5.666666666666667,1.0,0,17,1,0,S2,0.3747727297098
S2,Grand Serpent Rising,0.9918003678321838,0.0,1.0,4,3,1.3333333333333333,5.0,1.0,0,20,1,0,S2,0.36065747215225996
S2,HAEX,0.9592100617247258,0.0,1.0,2,1,2.0,2.0,0.0,0,4,1,0,S2,0.7837117132045346
S2,Hum of Hurt,0.9784963360779938,0.0,1.0,3,3,1.0,3.6666666666666665,0.6666666666666666,0,11,0,1,S2,0.5504217648190252
S2,Hyundai IONIQ Concept Earth,0.239181115745365,0.0,1.0,6,4,1.5,4.5,0.5,0,27,1,0,S2,-0.287007308201033
S2,Hyundai IONIQ Concept Venus,0.3019109641647285,0.0,1.0,6,4,1.5,4.5,0.5,0,27,1,0,S2,-0.22427745978166946
S2,Intel Crescent Island,0.5178828880827786,0.5,0.5,3,3,1.0,7.0,1.0,0,21,0,1,S2,-0.1428852238705477
S2,Jideytro,0.6505955457687378,0.0,1.0,4,1,4.0,2.0,0.25,0,8,1,0,S2,0.1244605065311063
S2,Kena: Scars of Kosmora,0.8253388202794456,0.0,1.0,9,4,2.25,2.4444444444444446,0.4444444444444444,0,22,1,0,S2,0.29284165304520016
S2,Kimi K2,0.1777011574659002,0.0,1.0,4,2,2.0,1.75,0.25,1,7,1,0,S2,-0.03879645202765303
S2,Krushers of the World,0.9982661306858064,0.0,1.0,6,4,1.5,3.5,0.6666666666666666,0,21,1,0,S2,0.45506225789035903
S2,LM Studio Bionic,0.989762932062149,1.0,0.0,4,3,1.3333333333333333,4.0,0.5,0,16,1,0,S2,0.5586633651765673
S2,Lipfendra,0.5820990651845932,1.0,0.0,3,1,3.0,3.0,0.6666666666666666,0,9,1,0,S2,0.017672868908627737
S2,MAI-Code-1-Flash,0.9999994039535522,1.0,0.0,8,1,8.0,2.0,0.25,1,16,1,0,S2,0.020498132620863085
S2,Mega Man: Dual Override,0.5965240448713303,0.0,1.0,5,4,1.25,4.6,0.8,0,23,1,0,S2,0.0025892025668723395
S2,MemPalace,0.9996332824230194,0.0,1.0,3,1,3.0,3.0,1.0,0,9,1,0,S2,0.32667769732535823
S2,MiMo-v2.5-Pro-UltraSpeed,0.9999998211860657,1.0,0.0,10,1,10.0,2.4,0.2,1,24,1,0,S2,-0.24736138914925698
S2,Microsoft Surface Laptop Ultra,0.00300292407312595,0.0,1.0,4,4,1.0,7.5,1.0,0,30,0,1,S2,-0.7304174075159193
S2,MiniMax-M1,0.9788510947028974,0.5,0.5,4,1,4.0,2.5,0.5,1,10,1,0,S2,0.4378074571753745
S2,Modeyso (dordaviprone),0.8746231469207413,1.0,0.0,10,2,5.0,2.2,0.3,0,22,1,0,S2,0.1361114288420917
S2,Muramasa: Revenant Blades,0.9992284178733826,0.0,1.0,8,3,2.6666666666666665,3.125,0.625,0,25,1,0,S2,0.38053032064545966
S2,NVIDIA Rubin CPX,0.16133660821603496,0.0,1.0,4,3,1.3333333333333333,4.0,0.5,0,16,1,0,S2,-0.2697629586695467
S2,Nano Banana (Gemini 2.5 Flash Image),0.9003130884809144,1.0,0.0,12,6,2.0,3.0,0.5,1,36,1,0,S2,0.3397464929995626
S2,Ninjala 2: The Uncharted Planet,0.9960886836051941,0.5,0.5,10,5,2.0,3.1,0.5,1,31,1,0,S2,0.485824760422482
S2,Of Earth & Wires,0.9206904768943787,0.0,1.0,5,4,1.25,3.2,0.4,0,16,1,0,S2,0.5091398449624736
S2,One Piece: Grand Gourmet,0.08284993470886075,0.0,1.0,6,4,1.5,4.0,0.6666666666666666,0,24,1,0,S2,-0.47897856086748586
S2,OpenMontage,0.9954655766487122,0.0,1.0,3,1,3.0,3.6666666666666665,1.0,0,11,1,0,S2,0.29767716117651855
S2,Qualcomm AI200,0.10240567230635456,0.0,1.0,5,2,2.5,2.8,0.2,1,14,1,0,S2,-0.20423414897912495
S2,Revtorpyk,0.8746951222419739,0.5,0.5,5,1,5.0,1.8,0.0,0,9,1,0,S2,0.3027871491823896
S2,Robostral Navigate,0.999885618686676,1.0,0.0,4,2,2.0,4.5,0.75,0,18,1,0,S2,0.4330454345583534
S2,Scenes from a Velvet Room,0.9320318400859833,0.0,1.0,5,5,1.0,5.0,0.8,0,25,0,1,S2,0.3028246588396323
S2,Tales of a Failed Shapeshifter,0.996892660856247,0.0,1.0,7,5,1.4,4.285714285714286,0.5714285714285714,0,30,1,0,S2,0.41486430609725256
S2,The Social Reckoning,0.964082729102138,0.5,0.5,5,3,1.6666666666666667,4.0,0.6,0,20,1,0,S2,0.4555510707198528
S2,Tomb Raider: Legacy of Atlantis,0.9113583564758301,0.0,1.0,6,5,1.2,5.166666666666667,0.6666666666666666,0,31,1,0,S2,0.29243075825440745
S2,Trutakna,0.9181851148605347,1.0,0.0,4,1,4.0,2.0,0.0,0,8,1,0,S2,0.47344711723917493
S2,VibeThinker,0.999927580356598,1.0,0.0,4,1,4.0,2.75,0.5,0,11,1,0,S2,0.3644585653313458
S2,Xenoblade Genesis,0.23182547622790695,0.0,1.0,4,2,2.0,4.25,1.0,0,17,1,0,S2,-0.40709943812623783
S2,You Seem Pretty Sad for a Girl So in Love,0.874925032468036,0.0,1.0,11,10,1.1,3.727272727272727,0.5454545454545454,0,41,1,0,S2,0.09240300303502136
S2,Yuviwel (navepegritide),0.6170016113511777,0.0,1.0,11,2,5.5,2.090909090909091,0.2727272727272727,0,23,1,0,S2,-0.1758767876742473
S2,ZeroClaw,0.9996048808097839,0.5,0.5,3,1,3.0,2.6666666666666665,0.3333333333333333,0,8,1,0,S2,0.5561244885427804
S2,Zycubo (copper histidinate),0.5850107333994052,0.0,1.0,10,3,3.3333333333333335,2.7,0.4,0,27,1,0,S2,-0.03434564671049811
S3,2026 Winter Olympics (Milano Cortina),0.00067350782100285,0.0,1.0,13,5,2.6,2.8461538461538463,0.46153846153846156,1,37,1,0,S3,-0.5683841105854076
S3,Android 16,0.00200727888775745,0.0,1.0,4,2,2.0,2.5,0.25,1,10,1,0,S3,-0.24242726477714469
S3,Apple M5,2.2696695616552787e-05,0.0,1.0,3,2,1.5,2.6666666666666665,0.3333333333333333,1,8,1,0,S3,-0.2104424894930505
S3,Apple iPhone 17 Pro,0.0010695783164151,1.0,0.0,6,4,1.5,3.1666666666666665,0.5,1,19,1,0,S3,-0.3903401187736384
S3,Artemis II,0.0032866315651245413,0.0,1.0,3,2,1.5,3.3333333333333335,0.3333333333333333,0,10,1,0,S3,-0.3171244511053546
S3,Avatar: Fire and Ash,0.7086705383944896,0.5,0.5,5,4,1.25,4.0,0.8,0,20,1,0,S3,0.1370852434271107
S3,Avengers: Doomsday,0.012709131203855351,1.0,0.0,5,2,2.5,3.6,0.6,0,18,1,0,S3,-0.5390784192243777
S3,Borderlands 4,0.0015271008358019,0.0,1.0,4,2,2.0,3.25,0.5,1,13,1,0,S3,-0.352241418616721
S3,Death Stranding 2: On the Beach,0.11568091392630334,0.5,0.0,9,6,1.5,3.4444444444444446,0.5555555555555556,1,31,1,0,S3,-0.4122192209997273
S3,ESCAPADE,0.6125013974246912,0.0,1.0,3,1,3.0,2.6666666666666665,0.6666666666666666,0,8,1,0,S3,0.06049161633599187
S3,EU AI Act general-purpose AI (GPAI) obligations,0.0012791949575245,0.0,1.0,12,7,1.7142857142857142,3.9166666666666665,0.25,0,47,1,0,S3,-0.6127133566201843
S3,"Fujian (Chinese aircraft carrier, Type 003)",0.0017436317268714001,0.0,1.0,13,6,2.1666666666666665,3.3076923076923075,0.46153846153846156,1,43,1,0,S3,-0.5801982857191663
S3,GPT-5,0.00011028699194955834,0.5,0.5,4,1,4.0,1.25,0.0,1,5,1,0,S3,-0.33157771035078154
S3,Ghost of Yotei,0.5934611548189117,0.5,0.5,5,3,1.6666666666666667,2.8,0.4,0,14,1,0,S3,0.19474622440380224
S3,Grand Egyptian Museum (full opening),0.0007164655952635,0.0,1.0,7,5,1.4,5.142857142857143,0.7142857142857143,0,36,1,0,S3,-0.659752409140285
S3,Grand Theft Auto VI,0.00031198428138874836,0.0,1.0,4,4,1.0,4.75,0.75,0,19,0,1,S3,-0.5492758803964386
S3,Hollow Knight: Silksong,0.1371970552008744,0.0,1.0,6,3,2.0,3.8333333333333335,0.6666666666666666,0,23,1,0,S3,-0.43170554820231155
S3,IMAP (Interstellar Mapping and Acceleration Probe),0.3494629932994877,0.0,1.0,11,6,1.8333333333333333,4.545454545454546,0.6363636363636364,0,50,1,0,S3,-0.3757454330684289
S3,Intel Panther Lake,0.00142451903623095,0.5,0.5,3,3,1.0,6.0,1.0,0,18,0,1,S3,-0.6220943473552967
S3,Jurassic World Rebirth,0.9027171178330956,1.0,0.0,4,3,1.3333333333333333,5.5,0.75,0,22,1,0,S3,0.33434664098854416
S3,Mario Kart World,0.04524572881596735,0.0,1.0,3,3,1.0,5.333333333333333,1.0,0,16,0,1,S3,-0.553440307201028
S3,NISAR,0.0012802577334527,0.0,1.0,3,1,3.0,1.6666666666666667,0.0,0,5,1,0,S3,-0.2964215001500565
S3,Nintendo Switch 2,0.00026107815964675,0.5,0.5,4,3,1.3333333333333333,4.25,0.5,1,17,1,0,S3,-0.35503773400910477
S3,Nvidia Vera Rubin (VR200 platform),0.1202711343019581,0.5,0.5,10,5,2.0,3.4,0.4,1,34,1,0,S3,-0.3686087459027848
S3,Onimusha: Way of the Sword,0.5022470216664735,0.0,1.0,9,5,1.8,2.888888888888889,0.4444444444444444,0,26,1,0,S3,-0.040254041624516845
S3,PCIe 7.0 specification,2.8107609502742102e-06,0.0,1.0,6,3,2.0,3.6666666666666665,0.3333333333333333,1,22,1,0,S3,-0.3690491301196271
S3,Pokémon Legends: Z-A,0.0806378933536156,0.0,1.0,5,3,1.6666666666666667,4.0,0.2,0,20,1,0,S3,-0.29765849844263464
S3,Project Hail Mary,0.055158537640512595,0.0,1.0,4,3,1.3333333333333333,4.25,0.75,0,17,1,0,S3,-0.46665038225179056
S3,Rivian R2,0.0813443359007532,0.0,1.0,4,2,2.0,2.25,0.5,1,9,1,0,S3,-0.23517493798997113
S3,Samsung Galaxy Z Fold 7,0.0011272003421977,0.0,1.0,6,5,1.2,3.8333333333333335,0.5,1,23,1,0,S3,-0.42875697661203255
S3,Star of the Seas (Royal Caribbean),0.4558853903868618,0.0,1.0,8,6,1.3333333333333333,4.25,0.625,0,34,1,0,S3,-0.18730779926176444
S3,Stranger Things season 5,1.6627690700904747e-05,0.0,1.0,5,4,1.25,4.8,0.6,1,24,1,0,S3,-0.4511373643258195
S3,Tesla Cybercab,0.00088620106106325,0.0,1.0,3,2,1.5,4.666666666666667,1.0,0,14,1,0,S3,-0.5862493200018722
S3,Wi-Fi 8 (IEEE 802.11bn Ultra High Reliability),0.0004362883444982369,0.0,1.0,19,7,2.7142857142857144,2.4210526315789473,0.2631578947368421,1,46,1,0,S3,-0.6116365820397692
S3,Wicked: For Good,0.17244636104768496,0.0,1.0,5,3,1.6666666666666667,3.2,0.6,0,16,1,0,S3,-0.30628590088516133
S3,Windows 10 end of support,2.1627583262425078e-07,0.0,1.0,7,5,1.4,3.5714285714285716,0.42857142857142855,1,25,1,0,S3,-0.4237958731938705
S3,elinzanetant (Lynkuet),0.5271529898264596,0.0,1.0,11,2,5.5,2.0,0.18181818181818182,0,22,1,0,S3,-0.23274018992379386
S3,lenacapavir (Yeztugo),0.0212302805703212,0.0,1.0,11,2,5.5,1.9090909090909092,0.18181818181818182,0,21,1,0,S3,-0.7352766041288598
S3,orforglipron,0.9016397060808403,0.5,0.5,4,1,4.0,3.0,0.75,0,12,1,0,S3,0.17546133804886666
S3,xAI Grok 4,0.2688272142610004,0.0,1.0,6,3,2.0,1.6666666666666667,0.16666666666666666,1,10,1,0,S3,0.02853845891486806
S4,Asset Administration Shell (IEC 63278-1),0.091639265621276,0.0,1.0,15,5,3.0,2.6666666666666665,0.2,1,40,1,0,S4,-0.4394266924290481
S4,Banana Pi BPI-F3,0.03008796148445685,0.0,1.0,6,3,2.0,2.6666666666666665,0.16666666666666666,1,16,1,0,S4,-0.24745003942347404
S4,Captain of Industry,0.7864957405523365,0.0,1.0,3,3,1.0,6.333333333333333,0.6666666666666666,0,19,0,1,S4,0.25908984779523836
S4,DCSA Track & Trace standard,0.9318419893966736,0.0,1.0,7,5,1.4,3.857142857142857,0.42857142857142855,0,27,1,0,S4,0.41229019223060537
S4,EIRSAT-1,0.205178717612221,0.0,1.0,5,1,5.0,1.6,0.2,1,8,1,0,S4,-0.3392839735207414
S4,Eclipse Sparkplug B,0.36628269325012397,0.0,1.0,4,3,1.3333333333333333,4.75,0.75,0,19,1,0,S4,-0.17415084942307846
S4,Fero Labs,0.9731383867856627,0.0,1.0,3,2,1.5,3.0,0.6666666666666666,0,9,1,0,S4,0.5566143304807539
S4,Follo Line (Blixtunnelen),0.0350287368188187,0.0,1.0,10,3,3.3333333333333335,2.5,0.3,0,25,1,0,S4,-0.5443189775322163
S4,Forto,0.85933140302146,0.0,1.0,2,1,2.0,2.5,0.5,0,5,1,0,S4,0.5024143484878261
S4,GS1 Digital Link,0.0031524334870787,0.0,1.0,4,3,1.3333333333333333,4.0,0.5,1,16,1,0,S4,-0.3428340672912232
S4,GS1 EPCIS 2.0,0.000961349151506834,0.0,1.0,9,3,3.0,1.4444444444444444,0.0,1,13,1,0,S4,-0.3114049262095179
S4,Leaf Logistics,0.9705783926419354,0.0,1.0,2,2,1.0,7.0,1.0,0,14,0,1,S4,0.36383787754342867
S4,Mashinky,0.01586187007762065,0.0,1.0,2,1,2.0,4.0,1.0,0,8,1,0,S4,-0.5597231360312548
S4,Milk-V Duo,0.9831403805608712,0.0,1.0,3,2,1.5,3.3333333333333335,0.6666666666666666,0,10,1,0,S4,0.5541999090686962
S4,NIMBY Rails,0.8437491785450848,1.0,0.0,4,2,2.0,2.75,0.25,0,11,1,0,S4,0.5048892573824533
S4,NorSat-TD,0.9730050771980048,0.0,1.0,4,1,4.0,2.25,0.5,0,9,1,0,S4,0.35616068495365183
S4,OpenBoxes,0.9893615507276587,0.0,1.0,2,1,2.0,4.5,1.0,0,9,1,0,S4,0.39515192183788395
S4,Optimal Dynamics,0.9989450332317444,0.0,1.0,3,2,1.5,5.333333333333333,1.0,0,16,1,0,S4,0.3869766817942766
S4,Pine64 Ox64,0.6446843799308649,0.0,1.0,6,2,3.0,1.8333333333333333,0.16666666666666666,1,11,1,0,S4,0.3175951892953348
S4,Plan B: Terraform,0.9896701472557473,0.0,1.0,5,3,1.6666666666666667,3.4,0.6,0,17,1,0,S4,0.5034880362105413
S4,QLever,0.9798139275533392,0.0,1.0,3,1,3.0,2.0,0.3333333333333333,0,6,1,0,S4,0.5611663656608681
S4,Rail Route,0.9683467223052868,0.0,1.0,2,2,1.0,5.0,1.0,0,10,0,1,S4,0.43610469833037735
S4,Randselva Bridge,0.9402469710496322,0.0,1.0,5,2,2.5,3.2,0.4,0,16,1,0,S4,0.468476752139136
S4,Sailwind,0.986723227956788,0.5,0.5,2,1,2.0,4.0,1.0,0,8,1,0,S4,0.4111382218479126
S4,Shippeo,0.9985053061035506,0.0,1.0,3,1,3.0,2.3333333333333335,0.3333333333333333,0,7,1,0,S4,0.5674413290238132
S4,Sipeed Tang Nano 20K,0.9887987239769522,0.0,1.0,9,4,2.25,2.2222222222222223,0.3333333333333333,1,20,1,0,S4,0.5858686959153959
S4,StarFive VisionFive 2,0.9017510614945833,0.0,1.0,6,3,2.0,3.5,0.6666666666666666,1,21,1,0,S4,0.4303779393859432
S4,Steampipe,0.05442160685928245,0.0,1.0,3,1,3.0,3.0,1.0,0,9,1,0,S4,-0.6185339782383787
S4,Stockpyl,0.9309557662133005,0.5,0.5,3,1,3.0,2.6666666666666665,0.3333333333333333,0,8,1,0,S4,0.4874753739462969
S4,SuperBIT,0.020408210316709148,0.0,1.0,2,1,2.0,4.0,1.0,0,8,1,0,S4,-0.5551767957921663
S4,Sweet Transit,0.9589600349440489,0.0,1.0,2,2,1.0,6.5,1.0,0,13,0,1,S4,0.3708441426264416
